Order_ID,Date,Product,Category,City,Quantity,Price,Rating,Payment
1001,2026-01-02,Laptop,Electronics,Pune,1,55000,4.5,UPI
1002,2026-01-03,Headphones,Electronics,Mumbai,2,2500,4.0,Card
1003,2026-01-05,Shoes,Fashion,Pune,1,3200,4.2,UPI
1004,2026-01-07,Mouse,Electronics,Delhi,3,800,3.8,Cash
1005,2026-01-10,T-Shirt,Fashion,Mumbai,2,1200,4.1,UPI
1006,2026-01-12,Laptop,Electronics,Delhi,1,60000,4.7,Card
1007,2026-01-15,Shoes,Fashion,Pune,2,3000,4.4,Card
1008,2026-01-18,Keyboard,Electronics,Mumbai,1,1800,3.9,UPI
1009,2026-01-20,T-Shirt,Fashion,Delhi,3,1100,4.0,Cash
1010,2026-01-22,Headphones,Electronics,Pune,1,2800,4.6,UPI
1011,2026-01-25,Shoes,Fashion,Mumbai,1,3500,4.3,Card
1012,2026-01-27,Mouse,Electronics,Pune,2,750,4.1,Cash
1013,2026-01-29,Laptop,Electronics,Mumbai,1,58000,4.8,Card
1014,2026-01-30,T-Shirt,Fashion,Pune,2,1300,4.5,UPI
1015,2026-01-31,Keyboard,Electronics,Delhi,2,1700,3.7,Cash
