order_id,order_date,customer_id,city,category,product,quantity,unit_price,discount,payment_method,delivery_days,rating
1001,2025-01-03,C101,Pune,Electronics,Wireless Mouse,2,599,0.10,UPI,3,5
1002,2025-01-05,C102,Mumbai,Electronics,Keyboard,1,1299,0.05,Credit Card,5,4
1003,2025-01-06,C103,Pune,Furniture,Office Chair,1,7499,0.15,UPI,7,3
1004,2025-01-08,C104,Delhi,Clothing,T-Shirt,3,799,0.00,Cash,4,5
1005,2025-01-10,C105,Mumbai,Electronics,Headphones,2,1999,0.10,Credit Card,6,4
1006,2025-01-11,C106,Bangalore,Clothing,Jeans,1,1499,0.05,UPI,3,4
1007,2025-01-13,C101,Pune,Electronics,Wireless Mouse,1,599,0.00,UPI,2,5
1008,2025-01-15,C107,Delhi,Furniture,Desk,1,5999,0.20,Debit Card,8,2
1009,2025-01-17,C108,Mumbai,Clothing,Jacket,1,2999,0.10,Credit Card,5,4
1010,2025-01-19,C109,Pune,Electronics,Smartwatch,1,4999,0.15,UPI,4,5
1011,2025-01-21,C110,Bangalore,Furniture,Bookshelf,2,3499,0.05,Credit Card,6,3
1012,2025-01-23,C111,Delhi,Clothing,Shoes,1,2499,0.10,UPI,5,4
1013,2025-01-25,C112,Mumbai,Electronics,Keyboard,2,1299,0.00,Debit Card,4,5
1014,2025-01-27,C103,Pune,Furniture,Office Chair,2,7499,0.10,UPI,9,2
1015,2025-01-29,C113,Bangalore,Clothing,T-Shirt,4,799,0.05,Cash,3,5
1016,2025-02-01,C114,Mumbai,Electronics,Headphones,1,1999,0.00,Credit Card,5,4
1017,2025-02-03,C115,Pune,Electronics,Smartwatch,2,4999,0.20,UPI,7,3
1018,2025-02-05,C116,Delhi,Furniture,Desk,1,5999,0.15,Debit Card,10,1
1019,2025-02-07,C117,Bangalore,Clothing,Jeans,2,1499,0.00,UPI,4,4
1020,2025-02-09,C101,Pune,Electronics,Wireless Mouse,3,599,0.05,UPI,3,5
1021,2025-02-11,C118,Mumbai,Clothing,Jacket,1,2999,0.20,Credit Card,8,2
1022,2025-02-13,C119,Delhi,Electronics,Keyboard,1,1299,0.10,UPI,5,4
1023,2025-02-15,C120,Bangalore,Furniture,Bookshelf,1,3499,0.00,Credit Card,6,3
1024,2025-02-17,C103,Pune,Furniture,Office Chair,1,7499,0.05,UPI,7,3
1025,2025-02-19,C121,Mumbai,Electronics,Headphones,3,1999,0.15,Debit Card,4,5
1026,2025-02-21,C122,Delhi,Clothing,Shoes,2,2499,0.00,UPI,3,5
1027,2025-02-23,C123,Bangalore,Clothing,T-Shirt,2,799,0.10,Cash,5,4
1028,2025-02-25,C124,Pune,Electronics,Smartwatch,1,4999,0.05,UPI,6,4
1029,2025-02-27,C125,Mumbai,Furniture,Desk,2,5999,0.10,Credit Card,9,2
1030,2025-03-01,C126,Delhi,Electronics,Wireless Mouse,5,599,0.00,UPI,2,5
1031,2025-03-03,C127,Pune,Clothing,Jeans,1,1499,0.15,Cash,4,4
1032,2025-03-05,C128,Bangalore,Electronics,Headphones,2,1999,0.05,Credit Card,5,5
1033,2025-03-07,C129,Mumbai,Furniture,Bookshelf,1,3499,0.10,Debit Card,7,3
1034,2025-03-09,C130,Delhi,Clothing,Jacket,2,2999,0.05,UPI,6,4
1035,2025-03-11,C101,Pune,Electronics,Smartwatch,1,4999,0.10,UPI,5,5
1036,2025-03-13,C131,Bangalore,Furniture,Office Chair,1,7499,0.20,Credit Card,11,1
1037,2025-03-15,C132,Mumbai,Clothing,Shoes,1,2499,0.05,UPI,4,5
1038,2025-03-17,C133,Delhi,Electronics,Keyboard,3,1299,0.15,Debit Card,5,3
1039,2025-03-19,C134,Pune,Furniture,Desk,1,5999,0.00,UPI,6,4
1040,2025-03-21,C135,Bangalore,Clothing,T-Shirt,5,799,0.10,Cash,3,5
